DescriptorClass,DescriptorUI,NLMClassificationNumber,DescriptorName,DateCreated,Annotation,AllowableQualifiersList,PharmacologicalActionList,OnlineNote,HistoryNote,PublicMeSHNote
{'DescriptorClass': '1'},D019393,,,,an eye protein; do not confuse with ARRESTINS,,,"use ARRESTIN (NM) to search S ANTIGEN, RETINAL 1981-96","97; was S ANTIGEN, RETINAL (NM) 1981-96","97; S ANTIGEN, RETINAL was indexed under ANTIGENS & EYE PROTEINS 1981-96"
{'DescriptorClass': '1'},D019394,,,,,,,use KI-67 ANTIGEN (NM) to search ANTIGEN KI67 1988-96,97; was ANTIGEN KI67 (NM) 1988-96,"97; ANTIGEN KI67 was indexed under NEOPLASM PROTEINS 1994-96, NUCLEAR PROTEINS 1992-96 & ANTIGENS, SURFACE 1988-91"
{'DescriptorClass': '1'},D019396,,,,,,,use TISSUE POLYPEPTIDE ANTIGEN (NM) to search TISSUE PEPTIDE ANTIGEN 1980-96,97; was TISSUE POLYPEPTIDE ANTIGEN (NM) 1978-96,97; TISSUE POLYPEPTIDE ANTIGEN was indexed under PEPTIDES 1978-96
{'DescriptorClass': '1'},D019397,WI 830,,,device simulating pancreas activity,,,,97,97
{'DescriptorClass': '1'},D019398,,,,"BRCA stands for ""BReast CAncer""",,,,97,97
{'DescriptorClass': '1'},D019400,,,,,,,,2002 (1997),2002; see TOBACCO MOSAIC VIRUS SATELLITE 1997-2001
{'DescriptorClass': '1'},D019401,,,,"satellite RNA, not a satellite virus",,,,97,97
{'DescriptorClass': '1'},D019402,,,,,,,,1997,1997; for MACROPHAGE INFLAMMATORY PROTEIN-1 see MACROPHAGE INFLAMMATORY PROTEIN-1 1997-2007
{'DescriptorClass': '1'},D019405,,,,/antag: coordinate with CYTOCHROME P-450 ENZYME INHIBITORS,,,,2015 (1979),"2015; see ALDOSTERONE SYNTHASE 2003-2014; see CYTOCHROME P-450 CYP11B2 1977-2002; for STEROID 18-HYDROXYLASE see CYTOCHROME P-450 1984-1996, see STEROID 11-HYDROXYLASE 1994-1996, see STEROID HYDROXYLASES 1979-1993, & see DESOXYCORTICOSTERONE 1979-1982"
{'DescriptorClass': '1'},D019408,,,,,,,,2018 (1990),"2018; see ANTIGENS, CD31 1997-2017 and CD31 ANTIGEN 1990-1996; PLATELET ENDOTHELIAL CELL ADHESION MOLECULE-1 was indexed under CELL ADHESION MOLECULES 1995-96; under ANTIGENS, DIFFERENTIATION, MYELOMONOCYTIC 1990-96; and under MEMBRANE GLYCOPROTEINS 1990-94"
{'DescriptorClass': '1'},D019409,,,,,,,use INTERLEUKIN-15 (NM) to search INTERLEUKIN 15 1994-96,97; was INTERLEUKIN 15 (NM) 1994-96,97; INTERLEUKIN 15 was indexed under INTERLEUKINS 1994-96
{'DescriptorClass': '1'},D019410,,,,,,,use INTERLEUKIN-16 (NM) to search LYMPHOCYTE CHEMOATTRACTANT FACTOR 1987-96,97; was LYMPHOCYTE CHEMOATTRACTANT FACTOR (NM) 1987-96,97; LYMPHOCYTE CHEMOATTRACTANT FACTOR was indexed under LYMPHOKINES 1987-96
{'DescriptorClass': '1'},D019411,,,,general or unspecified; prefer specifics,,,,2000 (1997),"2000; see TECHNOLOGY, MEDICAL LABORATORY 1997-1999; for LABORATORY DIAGNOSIS see LABORATORY TECHNIQUES AND PROCEDURES 1998-2011, see DIAGNOSIS, LABORATORY 1963-1997; for LABORATORY EXAMINATIONS AND DIAGNOSES see LABORATORY TECHNIQUES AND PROCEDURES 1981-2011; for DIAGNOSES AND LABORATORY EXAMINATIONS see LABORATORY TECHNIQUES AND PROCEDURES 1993-2011"
{'DescriptorClass': '1'},D019412,,,,coordinate with organ/anat (IM),,,,97,97
{'DescriptorClass': '1'},D019413,,,,Qi defic goes here,,,,2002(1997),2002; see CH'I 1997-2002
{'DescriptorClass': '1'},D019414,,,,,,,,97,97
{'DescriptorClass': '1'},D019415,,,,a principle of mechanics; not restricted to space flight,,,,97,97
{'DescriptorClass': '1'},D019416,,,,note HEAD BANGING see STEREOTYPED BEHAVIOR,,,,97,97
{'DescriptorClass': '1'},D019417,,,,,,,,97,97
{'DescriptorClass': '1'},D019418,,,,,,,,97,97
{'DescriptorClass': '1'},D019419,,,,,,,,97,97
{'DescriptorClass': '1'},D019422,,,,"/adv eff: coordinate with disease /etiol, not /chem ind; /ther use: coordinate with specific disease /diet ther",,,,97,97
{'DescriptorClass': '1'},D019423,,,,"a form of traditional medicine; specify geog; not for African witch doctors: use instead MEDICINE, AFRICAN TRADITIONAL",,,,97,97
{'DescriptorClass': '4'},D019424,,,,"an island in the West Indies; do not confuse with DOMINICAN REPUBLIC, also in the West Indies",,,,97,
{'DescriptorClass': '4'},D019425,,,,"an island in the West Indies; do not confuse with GRENADINES see SAINT VINCENT AND THE GRENADINES, also in the West Indies",,,,97,
{'DescriptorClass': '1'},D019426,,,,HIV INTEGRASE is also available,,,,2004(1997); use INTEGRASE (NM) 1974-1996,"2004; see INTEGRASE 1997-2003; INTEGRASE was indexed under DNA NUCLEOTIDYLTRANSFERASES 1974-96, DNA UNWINDING PROTEINS 1974-87, VIRAL PROTEINS 1980-87, & COLIPHAGES/enzymology 1974-80"
{'DescriptorClass': '1'},D019427,,,,,,,use INTEGRASE (NM) to search HIV INTEGRASE 1993-96,97; HIV INTEGRASE was SY to INTEGRASE (NM) 1993-96,97; HIV INTEGRASE was indexed under DNA NUCLEOTIDYLTRANSFERASES 1993-96
{'DescriptorClass': '1'},D019428,,,,,,,,97,97
{'DescriptorClass': '1'},D019429,,,,,,,,97,97
{'DescriptorClass': '4'},D019430,,,,two islands in the West Indies separated by a narrow channel,,,,97,
{'DescriptorClass': '4'},D019431,,,,an island in the West Indies,,,,97,
{'DescriptorClass': '4'},D019432,,,,a Brit colony in the Atlantic Islands,,,,97,
{'DescriptorClass': '1'},D019433,WC 572,,,,,,use CHICKENPOX VACCINE (NM) to search VARICELLA VACCINE 1985-96,97; was VARICELLA VACCINE (NM) 1985-96,97; VARICELLA VACCINE was indexed under VIRAL VACCINES 1985-96
{'DescriptorClass': '4'},D019435,,,,one of the Channel Islands,,,use CHANNEL ISLANDS to search GUERNSEY ISLAND 1975-96,97; GUERNSEY ISLAND was see CHANNEL ISLANDS 1975-96,
{'DescriptorClass': '4'},D019436,,,,"self-governing islands in the West Indies; do not confuse entry term GRENADINES with GRENADA, also in the West Indies",,,,97,
{'DescriptorClass': '4'},D019437,,,,an independent federation in the West Indies,,,,97,
{'DescriptorClass': '1'},D019438,,,,,,,use RITONAVIR (NM) to search ABT 538 1995-96,97; was ABT 538 (NM) 1995-96,97; ABT 538 was indexed under THIAZOLES & VALINE/analogs & derivatives 1996 & HIV PROTEASE INHIBITORS 1995
{'DescriptorClass': '1'},D019439,,,,located in adrenal medulla & sympath paraganglia; store epinephrine,,,,97,97
{'DescriptorClass': '1'},D019440,,,,,,,,97,97
{'DescriptorClass': '1'},D019441,,,,outer integument of plants; IM; coord with specific plant if pertinent (IM),,,,97,97
{'DescriptorClass': '1'},D019442,,,,GRAVITY SUITS is also available,,,,97,97
{'DescriptorClass': '1'},D019443,,,,,,,,97,97
{'DescriptorClass': '1'},D019444,QW 805,,,vaccines composed of recombinant DNA vectors encoding antigens,,,,97,97
{'DescriptorClass': '1'},D019445,,,,,,,,97,97
{'DescriptorClass': '1'},D019446,WC 240,,,coordinate with specific bacterial infection heading or specific bacterium if precoordinated bacterial infection heading is not in MeSH; do not use /blood to cover -emia,,,,97,97
{'DescriptorClass': '1'},D019448,,,,specialty; coordinate with geographic term or ethnic group if pertinent; coordinate NIM with specific drug or plant (IM) for ethnobotany aspects of the plant,,,,97,97
{'DescriptorClass': '1'},D019449,,,,"do not index under PROCTOCOLECTOMY, RESTORATIVE unless particularly discussed",,,,97,97
{'DescriptorClass': '1'},D019450,,,,,,,,97,97
{'DescriptorClass': '1'},D019451,,,,,,,,97,97
{'DescriptorClass': '1'},D019452,,,,the terminal patient himself; care of the terminal patient = TERMINAL CARE,,,,97,97
{'DescriptorClass': '1'},D019453,,,,"infection: coordinate IM with ESCHERICHIA COLI INFECTIONS (IM); consider also HEMOLYTIC-UREMIC SYNDROME; in titles & translations use O157 (the letter O), not 0157 (the number zero)",,,,97,97
{'DescriptorClass': '1'},D019454,,,,coordinate with type of therapy but do not coordinate with CIRCADIAN RHYTHM; SLEEP PHASE CHRONOTHERAPY and DRUG CHRONOTHERAPY are also available,,,,97,97
{'DescriptorClass': '1'},D019455,WM 460.5.E3,,,do not confuse with SELF CONCEPT,,,,97,97
{'DescriptorClass': '1'},D019456,,,,demogr & epidemiol changes in health picture in a population,,,,97,97
{'DescriptorClass': '1'},D019457,,,,,,,,97,97
{'DescriptorClass': '1'},D019458,,,,coord IM with specific type of insurance (IM); not restricted to health insurance; specify geog if pertinent; UNIVERSAL HEALTH INSURANCE (restricted to health insurance) is also available,,,,97,97
{'DescriptorClass': '1'},D019459,,,,coordinate with specific urinary tract organ but not with URINARY TRACT,,,,97,97
{'DescriptorClass': '1'},D019460,,,,,,,,97,97
{'DescriptorClass': '1'},D019461,,,,add UNITED STATES; CATALOGER: Use NAF entry,,,,97,97
{'DescriptorClass': '1'},D019462,,,,,,,,1997,1997
{'DescriptorClass': '1'},D019463,,,,NIM with no qualifiers when experimental animal,,,,97,97
{'DescriptorClass': '1'},D019464,,,,coord IM with subject of tax (IM); specify geog,,,,97,97
{'DescriptorClass': '1'},D019465,WE 705,,,general or unspecified; prefer specifics,,,,97,97
{'DescriptorClass': '1'},D019466,,,,,,,,97,97
{'DescriptorClass': '1'},D019467,,,,,,,,97,97
{'DescriptorClass': '1'},D019468,W 84.7,,,selection of appropriate dis ther processes in relation to cost and clin outcome,,,,97,97
{'DescriptorClass': '1'},D019469,,,,,,,use INDINAVIR (NM) to search INDINAVIR 1994-96,97; was INDINAVIR (NM) 1994-96,97; INDINAVIR was indexed under PYRIDINES 1994-96
{'DescriptorClass': '1'},D019470,,,,,,,,97,97
{'DescriptorClass': '1'},D019471,,,,a concept in nuclear physics; sub-atomic particles only,,,,97,97
{'DescriptorClass': '1'},D019472,,,,,,,,2019(1997),2019; see Universal Coverage 1997-2018
{'DescriptorClass': '1'},D019473,,,,,,,,97,97
{'DescriptorClass': '1'},D019474,,,,,,,,97,97
{'DescriptorClass': '1'},D019475,,,,,,,use CAMPHOR 5-MONOOXYGENASE (NM) to search CAMPHOR-5-MONOOXYGENASE 1980-96,97; was CAMPHOR-5-MONOOXYGENASE (NM) 1973-96,"97; CAMPHOR-5-MONOOXYGENASE was indexed under CYTOCHROME P-450 & HYDROXYLASES 1973-96, & CAMPHOR 1973-82"
{'DescriptorClass': '1'},D019476,,,,/drug eff /ultrastruct permitted; /physiol permitted for function within the insect; coord IM with specific protein (IM) + specific insect (IM),,,,97,97
{'DescriptorClass': '2'},D019477,,,,this heading is used as a Publication Type; used for individual or group portraits in an article; portraits as a subject are indexed under the main heading PORTRAITS AS TOPIC,,,,2008(1997),
{'DescriptorClass': '2'},D019478,,,,This heading is used as a Publication Type. Academic dissertations as a subject are indexed under the main heading ACADEMIC DISSERTATIONS AS TOPIC. INDEXER: Do not use; CATALOGER: Used by collaborating partners and for historical material only,,,,2008(1997),
{'DescriptorClass': '2'},D019479,,,,This heading is used as a Publication Type. Account books as a subject are indexed under the main heading ACCOUNTING. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019480,,,,This heading is used as a Publication Type. Publication Types BROADSIDE & POSTER & PROSPECTUSES are also available. Advertisements as a subject are indexed under the main heading ADVERTISING. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019482,,,,This heading is used as a Publication Type. Almanacs as a subject are indexed under the main heading ALMANACS AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019483,,,,polypeptides from snake venom; platelet aggregation inhib,,,use DISINTEGRINS (NM) to search DISINTEGRINS 1992-96,97; was DISINTEGRINS (NM) 1992-96,97; DISINTEGRINS was indexed under PEPTIDES 1992-96 & VENOMS 1992-94
{'DescriptorClass': '2'},D019484,,,,this heading is used as a Publication Type; do not confuse with Publication Type LECTURE which is usually for classroom instruction.,,,,2019(1997); was ADDRESSES 1966-2019,
{'DescriptorClass': '1'},D019485,,,,general; prefer specifics,,,use BONE MORPHOGENETIC PROTEINS (NM) to search BONE MORPHOGENETIC PROTEIN 1981-96,97; was BONE MORPHOGENETIC PROTEIN (NM) 1981-96,97; BONE MORPHOGENETIC PROTEIN was indexed under PROTEINS 1981-96
{'DescriptorClass': '2'},D019486,,,,This heading is used as a Publication Type. Animation as a subject is indexed under the main heading MOTION PICTURES. INDEXER: Do not use; CATALOGER: Use for historical material only,,,,2008(1997),
{'DescriptorClass': '2'},D019487,,,,This heading is used as a Publication Type. Annual reports as a subject are indexed under the main heading ANNUAL REPORTS AS TOPIC. INDEXER: Do not use; CATALOGER: Use for historical material only,,,,2008(1997),
{'DescriptorClass': '2'},D019488,,,,This heading is used as a Publication Type. Architectural drawings as a subject are indexed under the main heading ARCHITECTURE. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019489,,,,"This heading is used as a Publication Type. Book illustrations as a subject are indexed under the main heading BOOKS, ILLUSTRATED. INDEXER: Do not use. CATALOGER: Use only for images originally published in a book.",,,,2008(1997),
{'DescriptorClass': '2'},D019490,Z 240.4,,,This heading is used as a Publication Type. Broadsides as a subject are indexed under the main heading BROADSIDES AS TOPIC. Publication Types ADVERTISEMENT & POSTER are also available. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019491,,,,This heading is used as a Publication Type. Bookplates as a subject are indexed under the main heading BOOKPLATES AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019492,,,,This heading is used as a Publication Type. Caricatures as a subject are indexed under the main heading CARICATURES AS TOPIC. Publication Type CARTOON is also available. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019493,WZ 336,,,This heading is used as a Publication Type. Cartoons as a subject are indexed under the main heading CARTOONS AS TOPIC; Publication Type CARICATURE is also available; INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019494,,,,This heading is used as a Publication Type. Catalogs as a subject are indexed under the main heading CATALOGS AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019496,QZ 250,,,coord IM with specific cancer histol type (IM) + organ/neopl precoord (IM),,,,97,97
{'DescriptorClass': '2'},D019497,,,,This heading is used as a Publication Type. Diaries as a subject are indexed under the main heading DIARIES AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019499,,,,"This heading is used as a Publication Type. For documentaries, motion pictures and films as a subject, index under the main heading MOTION PICTURES. INDEXER: Do not use; CATALOGER: Use for historical material only",,,,2008(1997),
{'DescriptorClass': '2'},D019500,,,,This heading is used as a Publication Type. Encyclopedias as a subject are indexed under the main heading ENCYCLOPEDIAS AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019502,,,,This heading is used as a Publication Type. Ephemera as a subject are indexed under the main heading for the specific type of ephemeron such as ADVERTISING AS TOPIC; CORRESPONDENCE AS TOPIC; PAMPHLETS; etc. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019504,,,,This heading is used as a Publication Type. Do not confuse with Publication Type FUNERAL SERMON for eulogies delivered at funeral services. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019505,,,,This heading is used as a Publication Type. Funeral sermons as a subject are indexed under the main heading FUNERAL RITES. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019508,,,,This heading is used as a Publication Type. Handbooks for travelers; INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019509,,,,This heading is used as a Publication Type. Herbals as a subject are index under the main heading HERBALS AS TOPIC. INDEXER: Do not use; CATALOGER: Use for historical material only,,,,2008(1997),
{'DescriptorClass': '1'},D019512,,,,usually chronic so do not coord with CHRONIC DISEASE,,,,97,97
{'DescriptorClass': '1'},D019513,,,,,,,use WOMEN'S RIGHTS to search FEMINISM 1994-96,97; was see WOMEN'S RIGHTS 1994-96,97; was see WOMEN'S RIGHTS 1994-96
{'DescriptorClass': '2'},D019514,,,,"This heading is used as a Publication Type. Restrict to instruction by motion pictures & video, not by lectures, classroom or printed matter. Instructional films and videos as a subject are indexed under the main heading MOTION PICTURES. INDEXER: Do not use",,,,2011; was INSTRUCTION 2008(1997),
{'DescriptorClass': '1'},D019516,,,,,,,,97,97
{'DescriptorClass': '2'},D019517,,,,This heading is used as a Publication Type. INDEXER: Do not use; CATALOGER: Use for historical material only,,,,2008(1997),
{'DescriptorClass': '1'},D019518,,,,,,,,97,97
{'DescriptorClass': '2'},D019519,,,,This heading is used as a Publication Type. not for poster presentations at meetings; The Publication Types ADVERTISEMENT & BROADSIDE are also available. Posters as a subject are indexed under the main heading POSTERS AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019520,,,,coord IM with precoord organ/transpl heading (IM) or specific organ or tissue /transpl (IM) if precoord transpl heading is not in MeSH,,,,97,97
{'DescriptorClass': '1'},D019521,,,,,,,,97,97
{'DescriptorClass': '1'},D019522,WP 255,,,note category; nonbloody; IM; coord with cause of discharge (IM),,,,97,97
{'DescriptorClass': '2'},D019523,,,,This heading is used as a Publication Type. The Publication Type FUNERAL SERMON is also available. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019525,,,,This heading is used as a Publication Type. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '2'},D019527,,,,This heading is used as a Publication Type. Prospectuses as a subject are indexed under the main heading ADVERTISING. INDEXER: Do not use; CATALOGER: Use for historical material only,,,,2008(1997),
{'DescriptorClass': '2'},D019528,,,,This heading is used as a Publication Type. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019529,,,,human only,,,,1997; use SEX BEHAVIOR 1978-1996,1997; see SEX BEHAVIOR 1978-1996
{'DescriptorClass': '2'},D019531,,,,This heading is used as a Publication Type. usually for instruction; Do not confuse with the Publication Type ADDRESS. CATALOGER: Publication Type LECTURE NOTE is also available,,,,2019(1997); was LECTURES,
{'DescriptorClass': '2'},D019532,,,,This heading is used as a Publication Type. Use for geographic atlases. Do not also use the publication type ATLASES. Maps as a subject are indexed under the main heading MAPS AS TOPIC. INDEXER: Do not use,,,,2008 (1997),
{'DescriptorClass': '1'},D019533,,,,infection: coordinate with STREPTOCOCCAL INFECTIONS,,,,97,97
{'DescriptorClass': '1'},D019534,WE 810,,,,,,,97,97
{'DescriptorClass': '1'},D019535,,,,infection: coord IM with MYCOPLASMA INFECTIONS (IM),,,,97,97
{'DescriptorClass': '1'},D019538,W 84.3,,,"do not confuse with HEALTH SURVEYS: health care surveys are on health services provided, health surveys are on health statist; specify geog if pertinent",,,,97,97
{'DescriptorClass': '2'},D019539,QV 738,,,This heading is used as a Publication Type. Pharmacopoeias as a subject are indexed under the main heading PHARMACOPOEIAS AS TOPIC. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019540,,,,,,,,97,97
{'DescriptorClass': '2'},D019542,,,,This heading is used as a Publication Type. INDEXER: Do not use,,,,2008(1997),
{'DescriptorClass': '1'},D019544,,,,coordinate with specific equipment or specific technique / instrum,,,,97,97
{'DescriptorClass': '1'},D019545,BF 315.5,,,knowing without conscious reasoning,,,,97,97
{'DescriptorClass': '1'},D019546,WM 430.5.M3,,,a psychother technique for unmarried couples: for married couples index under MARITAL THERAPY,,,,97,97
{'DescriptorClass': '1'},D019547,WE 708,,,,,,,1997,1997
{'DescriptorClass': '1'},D019548,,,,coord IM with specific crime if pertinent (IM),,,,97,97
{'DescriptorClass': '1'},D019550,WA 30.5,,,,,,,97,97
{'DescriptorClass': '1'},D019551,,,,,,,,97,97
{'DescriptorClass': '1'},D019552,WU 29,,,"prevention of infection in dental health facilities, not prevention of tooth infection in the mouth",,,,97,97
{'DescriptorClass': '1'},D019553,,,,a devitalized tooth: note X ref,,,,97,97
{'DescriptorClass': '1'},D019554,,,,,,,,97,97
{'DescriptorClass': '1'},D019555,,,,coordinate with medical & nursing specialties if pertinent,,,,97,97
{'DescriptorClass': '1'},D019556,,,,almost always NIM with no subheadings; check ANIMALS & add CHLOROCEBUS AETHIOPS (NIM),,,,97,97
{'DescriptorClass': '1'},D019557,,,,"note X ref DERMATITIS, PERIOCULAR: can extend to this area",,,,97,97
{'DescriptorClass': '1'},D019558,WU 440,,,grinding of occlusal surfaces of teeth to achieve optimal occlusion,,,"use DENTAL OCCLUSION, BALANCED to search OCCLUSAL ADJUSTMENT 1969-96","97; OCCLUSAL EQUILIBRATION was see DENTAL OCCLUSION, BALANCED 1975-96; was see under DENTAL OCCLUSION, BALANCED 1969-74","97; OCCLUSAL EQUILIBRATION was see DENTAL OCCLUSION, BALANCED 1975-96; was see under DENTAL OCCLUSION, BALANCED 1969-74"
{'DescriptorClass': '1'},D019559,WG 700,,,,,,,1997,1997
{'DescriptorClass': '1'},D019560,WG 141.5.E2,,,"ECHOCARDIOGRAPHY, FOUR-DIMENSIONAL is also available",,,,97,97
{'DescriptorClass': '1'},D019561,,,,"ECHOCARDIOGRAPHY, THREE-DIMENSIONAL is also available",,,,97,97
{'DescriptorClass': '1'},D019562,,,,,,,,97,97
{'DescriptorClass': '1'},D019563,,,,"the discipline (education, history, etc) only; use MECHANICAL PHENOMENA or specifics treed under it for mechanical properties and processes of materials",,,,97,97
{'DescriptorClass': '1'},D019564,,,,,,,,97,97
{'DescriptorClass': '1'},D019565,,,,GEN: prefer specifics,,,,1997,1997
{'DescriptorClass': '1'},D019567,,,,general or unspecified; coordinate with specific injury or specific region; do not confuse with SPINAL INJURIES which refers to vertebrae only,,,,98,98
{'DescriptorClass': '1'},D019568,,,,,,,,98,98
{'DescriptorClass': '1'},D019569,WE 705,,,,,,,1998,1998
{'DescriptorClass': '1'},D019570,,,,may or may not result in a disease; coord IM with specific inhalant (IM),,,,98,98
{'DescriptorClass': '1'},D019571,WG 220,,,,,,,98,98
{'DescriptorClass': '1'},D019572,WW 270,,,coordinate IM with histologic type of neoplasm (IM) but majority will be RETINOBLASTOMA,,,,1998,1998
{'DescriptorClass': '1'},D019573,WW 220,,,"do not confuse with ENDOTHELIUM, CORNEAL; do not confuse entry term ANTERIOR CORNEAL EPITHELIUM with ANTERIOR CHAMBER EPITHELIUM see ENDOTHELIUM, CORNEAL",,,,98,98
{'DescriptorClass': '1'},D019574,WW 280,,,coordinate IM with histologic type of neoplasm (IM),,,,98,98
{'DescriptorClass': '1'},D019575,,,,,,,,1998,1998
{'DescriptorClass': '1'},D019576,QL 737.C434,,,,,,,98; use DOLPHINS 1968-97,98; see DOLPHINS 1968-97
{'DescriptorClass': '1'},D019577,,,,NIM when experimental animal,,,,98,98
{'DescriptorClass': '1'},D019578,,,,a specific neurodegenerative syndrome complex; not for atrophy in other systems,,,,1998,1998
{'DescriptorClass': '1'},D019579,,,,,,,,98,98
{'DescriptorClass': '1'},D019580,,,,,,,,98,98
{'DescriptorClass': '1'},D019581,,,,"do not confuse with NEUROPIL THREADS, abnormal neuronal structures",,,,98,98
{'DescriptorClass': '1'},D019583,WN 250.6,,,,,,,2019(2008),2019; see Dose Fractionation 2008-2018
{'DescriptorClass': '1'},D019584,WP 580,,,do not confuse with FLUSHING,,,,98,98
{'DescriptorClass': '1'},D019585,WL 203,,,do not confuse with INTRACRANIAL HYPERTENSION; coord IM with disease /physiopathol (IM) causing or caused by intracranial hypotension,,,,1998,1998
{'DescriptorClass': '1'},D019586,WL 203,,,do not confuse with INTRACRANIAL HYPOTENSION; coord IM with disease /physiopathol (IM) causing or caused by intracranial hypertension,,,,1998,1998
{'DescriptorClass': '1'},D019587,,,,"do not confuse with FOOD, FORTIFIED or FOOD, FORMULATED or FOOD ADDITIVES or FUNCTIONAL FOOD; coordinate IM with specific nutrient if relevant (IM)",,,"use FOOD, FORTIFIED to search DIETARY SUPPLEMENTATION 1995-97 & FOOD, SUPPLEMENTED 1975-97","98; DIETARY SUPPLEMENTATION was see FOOD, FORTIFIED 1995-97; FOOD, SUPPLEMENTED was see FOOD, FORTIFIED 1975-97","98; DIETARY SUPPLEMENTATION was see FOOD, FORTIFIED 1995-97; FOOD, SUPPLEMENTED was see FOOD, FORTIFIED 1975-97"
{'DescriptorClass': '1'},D019588,,,,"unspecified with relation to age; in children, consider PROGERIA; in adults, consider PROGERIA, ADULT see WERNER SYNDROME",,,,98,98
{'DescriptorClass': '1'},D019589,,,,used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,98,98
{'DescriptorClass': '1'},D019590,,,,,,,use NUCLEOCAPSID to search NUCLEOCAPSID PROTEINS 1997,98; was see NUCLEOCAPSID 1997,98; was see NUCLEOCAPSID 1997
{'DescriptorClass': '1'},D019591,,,,do not confuse with PSEUDOAPHAKIA see CATARACT,,,,98,98
{'DescriptorClass': '1'},D019595,WC 528,,,coordinate with NEGLECTED DISEASES if pertinent,,,"use DENGUE to search DENGUE HEMORRHAGIC FEVER & DENGUE SHOCK SYNDROME 1997, & HEMORRHAGIC FEVER, DENGUE 1977-97","98; was see DENGUE 1997; DENGUE SHOCK SYNDROME was see DENGUE 1997; HEMORRHAGIC FEVER, DENGUE was see DENGUE 1977-97","98; was see DENGUE 1997; DENGUE SHOCK SYNDROME was see DENGUE 1997; HEMORRHAGIC FEVER, DENGUE was see DENGUE 1977-97"
{'DescriptorClass': '1'},D019596,,,,,,,,98,98
{'DescriptorClass': '1'},D019597,,,,"despite entry term FLAXSEED, coord IM with SEEDS (IM)",,,,98,98
{'DescriptorClass': '1'},D019599,,,,"do not confuse with MOSSY FIBERS, CEREBELLAR see NERVE FIBERS",,,,98,98
{'DescriptorClass': '1'},D019600,,,,"do not confuse with NEUROPIL, a ""felt"" of interwoven neuronal components & neuroglia",,,,98,98
{'DescriptorClass': '4'},D019601,,,,index specific states as needed but use PACIFIC STATES when text uses the term & when the region is the intent of the author; CATALOGER: Use for 4 or more states,,,,98,
{'DescriptorClass': '1'},D019602,,,,used for searching; INDEXER: Do not use; CATALOGER: Do not use,,,,98,
{'DescriptorClass': '1'},D019603,,,,"an order of the kingdom of Euryarchaeota, of the domain of Archaea",,,,98,98
{'DescriptorClass': '1'},D019605,,,,"do not confuse entry term METHANOBACTERIA (a class name) with METHANOBACTERIUM, the genus",,,,1998,1998; for METHANOBACTERIA see METHANOGENS 1979-2003
{'DescriptorClass': '1'},D019606,,,,general or unspecified; prefer specifics,,,,98,98
{'DescriptorClass': '1'},D019607,,,,,,,,2003(1998),2003; see CRUCIFERAE 1998-2002
{'DescriptorClass': '1'},D019608,,,,"an order of the kingdom of Euryarchaeota, of the domain of Archaea",,,,98,98
{'DescriptorClass': '1'},D019609,,,,"a genus of archaea, extremely thermophilic",,,,98,98
{'DescriptorClass': '1'},D019610,,,,coordinate with specific agent and specific cell,,,,98,98
{'DescriptorClass': '1'},D019611,,,,a species of archaea,,,,98,98
{'DescriptorClass': '1'},D019612,,,,,,,,2006(1998),2006; see BARLEY 1998-2005
{'DescriptorClass': '1'},D019613,,,,"a genus of archaea ""found in neutral saline environments""",,,,98,98
{'DescriptorClass': '1'},D019614,,,,a species of halophilic archaea; marismortui is Latin for Dead Sea,,,,98; HALOBACTERIUM MARISMORTUI was see HALOBACTERIUM 1992-97,98; HALOBACTERIUM MARISMORTUI was see HALOBACTERIUM 1992-97
{'DescriptorClass': '1'},D019615,,,,a kingdom of the domain Archaea,,,,98,98
{'DescriptorClass': '1'},D019616,,,,"note category: do not confuse with THORACIC SURGERY, the surg specialty; GEN or unspecified; prefer specifics",,,,98,98
